CaseID,CompleteTimestamp,ActivityID,Filter 1 DeltaP,Filter 1 DeltaP,Filter 1 DeltaP,Filter 1 DeltaP,Filter 1 DeltaP,Filter 1 Inlet Pressure,Filter 1 Inlet Pressure,Filter 1 Inlet Pressure,Filter 1 Inlet Pressure,Filter 1 Inlet Pressure,Filter 2 DeltaP,Filter 2 DeltaP,Filter 2 DeltaP,Filter 2 DeltaP,Filter 2 DeltaP,Pump Circulation Flow,Pump Circulation Flow,Pump Circulation Flow,Pump Circulation Flow,Pump Circulation Flow,Tank Pressure,Tank Pressure,Tank Pressure,Tank Pressure,Tank Pressure,time_idx
,,,mean,min,max,std,sum,mean,min,max,std,sum,mean,min,max,std,sum,mean,min,max,std,sum,mean,min,max,std,sum,
21E26001E,2021-05-30 17:34:00,['Start adjustment'],0.24285543250540892,0.23735956400632857,0.24835130100448927,0.007772331768418493,0.48571086501081784,0.9418612276514371,0.9253550827503204,0.9583673725525538,0.02334321398165472,1.8837224553028742,0.21554315388202666,0.211423434317112,0.21966287344694135,0.005826163281876134,0.4310863077640533,67.74473492304485,65.13984076182048,70.34962908426921,3.6838766513499848,135.4894698460897,0.06465157456696033,0.06450815051794052,0.06479499861598015,0.00020283223529428686,0.12930314913392066,6
21E26001E,2021-05-30 18:02:00,['Pump adjustment'],0.2453051750947322,0.24071536958217613,0.2506484150886536,0.002163483631805733,6.868544902652502,0.9407819511634964,0.9250037173430125,0.9593914995590844,0.00884194878531615,26.341894632577898,0.2129009953833052,0.20796660557389257,0.21925952235857651,0.0031101958631804404,5.961227870732546,69.01298732303438,68.00833282470703,70.38729095458984,0.715908360291106,1932.3636450449626,0.06658315140354845,0.04333402216434479,0.0688560456037521,0.004701397240063325,1.8643282392993568,7
21E26001E,2021-05-31 14:43:00,['Adjustment Charging'],0.2382117785209214,0.23032233590881027,0.24971012522776928,0.002519343864888602,295.62081714446344,0.9022501607463783,0.882717936237653,0.9573370446761447,0.008655068807770502,1119.6924494862556,0.20886812819997974,0.1994088773926099,0.21532730211814247,0.00226603817186822,259.2053470961749,68.89937933256573,66.47882792154948,70.8486883799235,0.7510203539423711,85504.12975171408,0.044489684307574016,0.03293234296143055,0.09338003210723399,0.007471053390410512,55.21169822569936,8
21E26001E,2021-05-31 15:18:00,['Adjustment Charging'],0.2367407020784559,0.23107761691013973,0.23952889119585355,0.0019929856092863593,8.285924572745957,0.8941526456390108,0.8855716198682786,0.9301831007003784,0.008219628756016834,31.295342597365376,0.2072650609768572,0.2072650372982022,0.207265079021454,1.1945547776166898e-08,7.254277134190002,68.98314962477912,68.73315124511718,69.77805887858072,0.25920871778211396,2414.410236867269,0.040309511907398704,0.03715912575523059,0.07646108660846948,0.008042867232963224,1.4108329167589546,9
21E26001E,2021-06-05 14:37:00,['Agitator stop'],0.23797102975262946,0.23099484543005624,0.244893054664135,0.0017460072621292137,1703.6346019990742,0.8947880478325617,0.8660636057456335,0.930146182576815,0.00671839221389335,6405.787634433309,0.20616393604087682,0.1986810266971588,0.2141143855949243,0.0019627417526986712,1475.9276181166372,68.50080512591612,67.85020637512208,69.57317975362142,0.22716277418487602,490397.2638964335,0.04178697976552627,0.029741571191698308,0.07580966999133427,0.006375416736633894,299.15298814140255,10
21E26001E,2021-06-05 14:38:00,['Agitation'],0.23750194708506273,0.23750194708506273,0.23750194708506273,,0.23750194708506273,0.8924472411473592,0.8924472411473592,0.8924472411473592,,0.8924472411473592,0.2069145369033019,0.2069145369033019,0.2069145369033019,,0.2069145369033019,68.14807446797688,68.14807446797688,68.14807446797688,,68.14807446797688,0.0371138900518417,0.0371138900518417,0.0371138900518417,,0.0371138900518417,11
21E26001E,2021-06-06 06:49:00,['Bottling'],0.2387455272356894,0.23386078501741098,0.24335483238101002,0.0014234131239721003,231.8219069458544,0.889574083010642,0.8842614303032558,0.8962146838506063,0.002047748440692723,863.7764346033334,0.20767762120742797,0.20221788436174393,0.21226520488659537,0.0013694536612160772,201.65497019241255,68.15717781635236,67.67637774149577,68.96455319722493,0.18328485736532077,66180.61965967814,0.03601013786503785,0.028738942835479977,0.04132050462067127,0.0016897844602314358,34.96584386695175,12
21E26001E,2021-06-06 07:29:00,['Circulation'],0.2471273570259412,0.23757168700297676,0.25209996228416764,0.004182761638031441,9.885094281037649,0.9998219288388889,0.8886230478684106,1.0723778506120043,0.057944217449663916,39.992877153555554,0.21589527931064367,0.20700370247165367,0.22565203656752902,0.00477464296130897,8.635811172425747,71.13338623046874,67.99913330078125,74.22408014933268,1.6822483462421802,2845.33544921875,0.16982405341851217,0.037063345809777576,0.20536943922440212,0.06303026949005801,6.792962136740487,13
21E26001E,2021-06-06 13:21:00,['Pump stop'],0.24132858581708866,0.12905607832653915,0.2501732669770718,0.00714082935532495,84.94766220761521,1.0040829214733094,0.6306801463166875,1.071364442507426,0.0281722805542277,353.4371883586049,0.210331726121744,0.09938708354020491,0.21748729199171063,0.00678013256190727,74.03676759485388,69.50838041061705,33.986548900604255,71.46751073201497,2.217178543059081,24466.949904537203,0.2010945970481825,0.07366091907024383,0.20683296024799344,0.007241549289710594,70.78529816096024,14
21E26001E,2021-06-06 16:24:00,['Pump start'],0.03111793585181998,-0.002653671510355061,0.8555856386820475,0.11727855992431356,5.694582260883056,0.199042282206768,0.006515478598885198,2.511714442571005,0.48944090001224866,36.42473764383855,0.023425722137737248,-0.02032116308885937,0.7338389248897637,0.08963559793828187,4.2869071512059165,22.837040330671147,0.0,296.7095255533855,60.78007337213719,4179.17838051282,0.2916493493546956,-0.5222183828552563,2.00437585314115,0.4775063607611018,53.371830931909294,15
