CaseID,CompleteTimestamp,Vessel,ActivityID,lifecycle:transition,event_id
21B21001E,2021-02-24 10:24:03.503,R601,Pump adjustment,complete,27
21B21001E,2021-02-24 10:24:07.907,R601,Pump adjustment,complete,28
21B21001E,2021-02-24 10:24:13.459,R601,Pump start,complete,29
21B21001E,2021-02-24 10:24:38.376,R601,Pump adjustment,complete,30
21B21001E,2021-02-24 10:24:44.162,R601,Pump adjustment,complete,31
21B21001E,2021-02-24 10:24:52.265,R601,Pump adjustment,complete,32
21B21001E,2021-02-24 10:25:28.917,R601,Pump adjustment,complete,33
21B21001E,2021-02-24 10:27:00.000,R601,Circulation,start,34
21B12001E,2021-02-24 10:27:31.322,R502,Pump adjustment,complete,101
21B21001E,2021-02-24 10:29:20.160,R601,Pump adjustment,complete,35
21B21001E,2021-02-24 10:29:36.407,R601,Pump adjustment,complete,36
21B21001E,2021-02-24 10:30:05.263,R601,Pump stop,complete,37
21B21001E,2021-02-24 10:32:41.225,R601,Pump adjustment,complete,38
21B21001E,2021-02-24 10:33:04.014,R601,Pump start,complete,39
21B21001E,2021-02-24 10:33:19.625,R601,Pump adjustment,complete,40
21B12001E,2021-02-24 10:34:23.743,R502,Pump stop,complete,102
21B12001E,2021-02-24 10:35:07.442,R502,Pump adjustment,complete,103
21B12001E,2021-02-24 10:35:11.605,R502,Pump start,complete,104
21B21001E,2021-02-24 10:36:18.240,R601,Pump stop,complete,41
21B21001E,2021-02-24 10:38:09.018,R601,Pump adjustment,complete,42
21B21001E,2021-02-24 10:38:15.815,R601,Pump start,complete,43
21B12001E,2021-02-24 10:38:26.028,R502,Pump adjustment,complete,105
21B21001E,2021-02-24 10:38:46.209,R601,Pump adjustment,complete,44
21B12001E,2021-02-24 10:39:17.824,R502,Pump adjustment,complete,106
21B12001E,2021-02-24 10:41:09.548,R502,Pump adjustment,complete,107
21B12001E,2021-02-24 10:42:23.949,R502,Pump adjustment,complete,108
21B21001E,2021-02-24 10:49:06.999,R601,Pump adjustment,complete,45
21B21001E,2021-02-24 11:02:01.417,R601,Pump adjustment,complete,46
21B21001E,2021-02-24 11:02:11.221,R601,Pump adjustment,complete,47
21B10001E,2021-02-24 13:30:37.000,R504,Agitation,complete,14
21B21001E,2021-02-24 13:54:32.220,R601,Pump adjustment,complete,48
21B21001E,2021-02-24 13:54:42.064,R601,Pump adjustment,complete,49
21B10001E,2021-02-24 14:33:45.000,R504,Bottling,start,15
21B18001E,2021-02-24 17:32:13.696,R602,Pump stop,complete,46
21B18001E,2021-02-24 17:32:41.119,R602,Pump adjustment,complete,47
21B17001E,2021-02-24 17:41:37.464,R501,Agitator stop,complete,50
21B17001E,2021-02-24 17:41:54.907,R501,Pump stop,complete,51
21B17001E,2021-02-24 17:44:36.000,R501,Adjustment Charging,start,52
21B18001E,2021-02-24 17:46:31.958,R602,Pump stop,complete,48
21B17001E,2021-02-24 18:22:13.000,R501,Adjustment Charging,complete,53
